Date,Close,Vix Close
2022-08-24,22.82,22.82
2022-08-23,24.11,24.11
2022-08-22,23.8,23.8
2022-08-19,20.6,20.6
2022-08-18,19.56,19.56
2022-08-17,19.9,19.9
2022-08-16,19.69,19.69
2022-08-15,19.95,19.95
2022-08-12,19.53,19.53
2022-08-11,20.2,20.2
2022-08-10,19.74,19.74
2022-08-09,21.77,21.77
2022-08-08,21.29,21.29
2022-08-05,21.15,21.15
2022-08-04,21.44,21.44
2022-08-03,21.95,21.95
2022-08-02,23.93,23.93
2022-08-01,22.84,22.84
2022-07-29,21.33,21.33
2022-07-28,22.33,22.33
2022-07-27,23.24,23.24
2022-07-26,24.69,24.69
2022-07-25,23.36,23.36
2022-07-22,23.03,23.03
2022-07-21,23.11,23.11
2022-07-20,23.88,23.88
2022-07-19,24.5,24.5
2022-07-18,25.3,25.3
2022-07-15,24.23,24.23
2022-07-14,26.4,26.4
2022-07-13,26.82,26.82
2022-07-12,27.29,27.29
2022-07-11,26.17,26.17
2022-07-08,24.64,24.64
2022-07-07,26.08,26.08
2022-07-06,26.73,26.73
2022-07-05,27.54,27.54
2022-07-04,26.7,26.7
2022-07-01,26.7,26.7
2022-06-30,28.71,28.71
2022-06-29,28.16,28.16
2022-06-28,28.36,28.36
2022-06-27,26.95,26.95
2022-06-24,27.23,27.23
2022-06-23,29.05,29.05
2022-06-22,28.95,28.95
2022-06-21,30.19,30.19
2022-06-20,31.13,31.13
2022-06-17,31.13,31.13
2022-06-16,32.95,32.95
2022-06-15,29.62,29.62
2022-06-14,32.69,32.69
2022-06-13,34.02,34.02
2022-06-10,27.75,27.75
2022-06-09,26.09,26.09
2022-06-08,23.96,23.96
2022-06-07,24.02,24.02
2022-06-06,25.07,25.07
2022-06-01,25.69,25.69
2022-05-31,26.19,26.19
2022-05-30,25.72,25.72
2022-05-27,25.72,25.72
2022-05-26,27.5,27.5
2022-05-25,28.37,28.37
2022-05-24,29.45,29.45
2022-05-23,28.48,28.48
2022-05-20,29.43,29.43
2022-05-19,29.35,29.35
2022-05-18,30.96,30.96
2022-05-17,26.1,26.1
2022-05-16,27.47,27.47
2022-05-13,28.87,28.87
2022-05-12,31.77,31.77
2022-05-11,32.56,32.56
2022-05-10,32.99,32.99
2022-05-09,34.75,34.75
2022-05-06,30.19,30.19
2022-05-05,31.2,31.2
2022-05-04,25.42,25.42
2022-05-03,29.25,29.25
2022-04-29,33.4,33.4
2022-04-28,29.99,29.99
2022-04-27,31.6,31.6
2022-04-26,33.52,33.52
2022-04-25,27.02,27.02
2022-04-22,28.21,28.21
2022-04-21,22.68,22.68
2022-04-20,20.32,20.32
2022-04-19,21.37,21.37
2022-04-14,22.7,22.7
2022-04-13,21.82,21.82
2022-04-12,24.26,24.26
2022-04-11,24.37,24.37
2022-04-08,21.16,21.16
2022-04-07,21.55,21.55
2022-04-06,22.1,22.1
2022-04-05,21.03,21.03
2022-04-04,18.57,18.57
2022-04-01,19.63,19.63
2022-03-31,20.56,20.56
2022-03-30,19.33,19.33
2022-03-29,18.9,18.9
2022-03-28,19.63,19.63
2022-03-25,20.81,20.81
2022-03-24,21.67,21.67
2022-03-23,23.57,23.57
2022-03-22,22.94,22.94
2022-03-21,23.53,23.53
2022-03-18,23.87,23.87
2022-03-17,25.67,25.67
2022-03-16,26.67,26.67
2022-03-15,29.83,29.83
2022-03-14,31.77,31.77
2022-03-11,30.75,30.75
2022-03-10,30.23,30.23
2022-03-09,32.45,32.45
2022-03-08,35.13,35.13
2022-03-07,36.45,36.45
2022-03-04,31.98,31.98
2022-03-03,30.48,30.48
2022-03-02,30.74,30.74
2022-03-01,33.32,33.32
2022-02-28,30.15,30.15
2022-02-25,27.59,27.59
2022-02-24,30.32,30.32
2022-02-23,31.02,31.02
2022-02-22,28.81,28.81
2022-02-18,27.75,27.75
2022-02-17,28.11,28.11
2022-02-16,24.29,24.29
2022-02-15,25.7,25.7
2022-02-14,28.33,28.33
2022-02-11,27.36,27.36
2022-02-10,23.91,23.91
2022-02-09,19.96,19.96
2022-02-08,21.44,21.44
2022-02-07,22.86,22.86
2022-02-04,23.22,23.22
2022-02-03,24.35,24.35
2022-02-02,22.09,22.09
2022-02-01,21.96,21.96
2022-01-31,24.83,24.83
2022-01-28,27.66,27.66
2022-01-27,30.49,30.49
2022-01-26,31.96,31.96
2022-01-25,31.16,31.16
2022-01-24,29.9,29.9
2022-01-21,28.85,28.85
2022-01-20,25.59,25.59
2022-01-19,23.85,23.85
2022-01-18,22.79,22.79
2022-01-17,19.19,19.19
2022-01-14,19.19,19.19
2022-01-13,20.31,20.31
2022-01-12,17.62,17.62
2022-01-11,18.41,18.41
2022-01-10,19.4,19.4
2022-01-07,18.76,18.76
2022-01-06,19.61,19.61
2022-01-05,19.73,19.73
2022-01-04,16.91,16.91
2021-12-31,17.22,17.22
2021-12-30,17.33,17.33
2021-12-29,16.95,16.95
2021-12-24,17.96,17.96
2021-12-23,17.96,17.96
2021-12-22,18.63,18.63
2021-12-21,21.01,21.01
2021-12-20,22.87,22.87
2021-12-17,21.57,21.57
2021-12-16,20.57,20.57
2021-12-15,19.29,19.29
2021-12-14,21.89,21.89
2021-12-13,20.31,20.31
2021-12-10,18.69,18.69
2021-12-09,21.58,21.58
2021-12-08,19.9,19.9
2021-12-07,21.89,21.89
2021-12-06,27.18,27.18
2021-12-03,30.67,30.67
2021-12-02,27.95,27.95
2021-12-01,31.12,31.12
2021-11-30,27.19,27.19
2021-11-29,22.96,22.96
2021-11-26,28.62,28.62
2021-11-25,18.58,18.58
2021-11-24,18.58,18.58
2021-11-23,19.38,19.38
2021-11-22,19.17,19.17
2021-11-19,17.91,17.91
2021-11-18,17.59,17.59
2021-11-17,17.11,17.11
2021-11-16,16.37,16.37
2021-11-15,16.49,16.49
2021-11-12,16.29,16.29
2021-11-11,17.66,17.66
2021-11-10,18.73,18.73
2021-11-09,17.78,17.78
2021-11-08,17.22,17.22
2021-11-05,16.48,16.48
2021-11-04,15.44,15.44
2021-11-03,15.1,15.1
2021-11-02,16.03,16.03
2021-11-01,16.41,16.41
2021-10-29,16.26,16.26
2021-10-28,16.53,16.53
2021-10-27,16.98,16.98
2021-10-26,15.98,15.98
2021-10-25,15.24,15.24
2021-10-22,15.43,15.43
2021-10-21,15.01,15.01
2021-10-20,15.49,15.49
2021-10-19,15.7,15.7
2021-10-18,16.31,16.31
2021-10-15,16.3,16.3
2021-10-14,16.86,16.86
2021-10-13,18.64,18.64
2021-10-12,19.85,19.85
2021-10-11,20.0,20.0
2021-10-08,18.77,18.77
2021-10-07,19.54,19.54
2021-10-06,21.0,21.0
2021-10-05,21.3,21.3
2021-10-04,22.96,22.96
2021-10-01,21.15,21.15
2021-09-30,23.14,23.14
2021-09-29,22.56,22.56
2021-09-28,23.25,23.25
2021-09-27,18.76,18.76
2021-09-24,17.75,17.75
2021-09-23,18.63,18.63
2021-09-22,20.87,20.87
2021-09-21,24.36,24.36
2021-09-20,25.71,25.71
2021-09-17,20.81,20.81
2021-09-16,18.69,18.69
2021-09-15,18.18,18.18
2021-09-14,19.46,19.46
2021-09-13,19.37,19.37
2021-09-10,20.95,20.95
2021-09-09,18.8,18.8
2021-09-08,17.96,17.96
2021-09-07,18.14,18.14
2021-09-03,16.41,16.41
2021-09-02,16.41,16.41
2021-09-01,16.11,16.11
2021-08-31,16.48,16.48
2021-08-27,16.39,16.39
2021-08-26,18.84,18.84
2021-08-25,16.79,16.79
2021-08-24,17.22,17.22
2021-08-23,17.15,17.15
2021-08-20,18.56,18.56
2021-08-19,21.67,21.67
2021-08-18,21.57,21.57
2021-08-17,17.91,17.91
2021-08-16,16.12,16.12
2021-08-13,15.45,15.45
2021-08-12,15.59,15.59
2021-08-11,16.06,16.06
2021-08-10,16.79,16.79
2021-08-09,16.72,16.72
2021-08-06,16.15,16.15
2021-08-05,17.28,17.28
2021-08-04,17.97,17.97
2021-08-03,18.04,18.04
2021-08-02,19.46,19.46
2021-07-30,18.24,18.24
2021-07-29,17.7,17.7
2021-07-28,18.31,18.31
2021-07-27,19.36,19.36
2021-07-26,17.58,17.58
2021-07-23,17.2,17.2
2021-07-22,17.69,17.69
2021-07-21,17.91,17.91
2021-07-20,19.73,19.73
2021-07-19,22.5,22.5
2021-07-16,18.45,18.45
2021-07-15,17.01,17.01
2021-07-14,16.33,16.33
2021-07-13,17.12,17.12
2021-07-12,16.17,16.17
2021-07-09,16.18,16.18
2021-07-08,19.0,19.0
2021-07-07,16.2,16.2
2021-07-06,16.44,16.44
2021-07-05,15.07,15.07
2021-07-02,15.07,15.07
2021-07-01,15.48,15.48
2021-06-30,15.83,15.83
2021-06-29,16.02,16.02
2021-06-28,15.76,15.76
2021-06-25,15.62,15.62
2021-06-24,15.97,15.97
2021-06-23,16.32,16.32
2021-06-22,16.66,16.66
2021-06-21,17.89,17.89
2021-06-18,20.7,20.7
2021-06-17,17.75,17.75
2021-06-16,18.15,18.15
2021-06-15,17.02,17.02
2021-06-14,16.39,16.39
2021-06-11,15.65,15.65
2021-06-10,16.1,16.1
2021-06-09,17.89,17.89
2021-06-08,17.07,17.07
2021-06-07,16.42,16.42
2021-06-04,16.42,16.42
2021-06-03,18.04,18.04
2021-06-02,17.48,17.48
2021-06-01,17.9,17.9
2021-05-28,16.76,16.76
2021-05-27,16.74,16.74
2021-05-26,17.36,17.36
2021-05-25,18.84,18.84
2021-05-24,18.4,18.4
2021-05-21,20.15,20.15
2021-05-20,20.67,20.67
2021-05-19,22.18,22.18
2021-05-18,21.34,21.34
2021-05-17,19.72,19.72
2021-05-14,18.81,18.81
2021-05-13,23.13,23.13
2021-05-12,27.59,27.59
2021-05-11,21.84,21.84
2021-05-10,19.66,19.66
2021-05-07,16.69,16.69
2021-05-06,18.39,18.39
2021-05-05,19.15,19.15
2021-05-04,19.48,19.48
2021-04-30,18.61,18.61
2021-04-29,17.61,17.61
2021-04-28,17.28,17.28
2021-04-27,17.56,17.56
2021-04-26,17.64,17.64
2021-04-23,17.33,17.33
2021-04-22,18.71,18.71
2021-04-21,17.5,17.5
2021-04-20,18.68,18.68
2021-04-19,17.29,17.29
2021-04-16,16.25,16.25
2021-04-15,16.57,16.57
2021-04-14,16.99,16.99
2021-04-13,16.65,16.65
2021-04-12,16.91,16.91
2021-04-09,16.69,16.69
2021-04-08,16.95,16.95
2021-04-07,17.16,17.16
2021-04-06,18.12,18.12
2021-04-01,17.33,17.33
2021-03-31,19.4,19.4
2021-03-30,19.61,19.61
2021-03-29,20.74,20.74
2021-03-26,18.86,18.86
2021-03-25,19.81,19.81
2021-03-24,21.2,21.2
2021-03-23,20.3,20.3
2021-03-22,18.88,18.88
2021-03-19,20.95,20.95
2021-03-18,21.58,21.58
2021-03-17,19.23,19.23
2021-03-16,19.79,19.79
2021-03-15,20.03,20.03
2021-03-12,20.69,20.69
2021-03-11,21.91,21.91
2021-03-10,22.56,22.56
2021-03-09,24.03,24.03
2021-03-08,25.47,25.47
2021-03-05,24.66,24.66
2021-03-04,28.57,28.57
2021-03-03,26.67,26.67
2021-03-02,24.1,24.1
2021-03-01,23.35,23.35
2021-02-26,27.95,27.95
2021-02-25,28.89,28.89
2021-02-24,21.34,21.34
2021-02-23,23.11,23.11
2021-02-22,23.45,23.45
2021-02-19,22.05,22.05
2021-02-18,22.49,22.49
2021-02-17,21.5,21.5
2021-02-16,21.46,21.46
2021-02-12,19.97,19.97
2021-02-11,21.25,21.25
2021-02-10,21.99,21.99
2021-02-09,21.63,21.63
2021-02-08,21.24,21.24
2021-02-05,20.87,20.87
2021-02-04,21.77,21.77
2021-02-03,22.91,22.91
2021-02-02,25.56,25.56
2021-02-01,30.24,30.24
2021-01-29,33.09,33.09
2021-01-28,30.21,30.21
2021-01-27,37.21,37.21
2021-01-26,23.02,23.02
2021-01-25,23.19,23.19
2021-01-22,21.91,21.91
2021-01-21,21.32,21.32
2021-01-20,21.58,21.58
2021-01-19,23.24,23.24
2021-01-18,24.34,24.34
2021-01-15,24.34,24.34
2021-01-14,23.25,23.25
2021-01-13,22.21,22.21
2021-01-12,23.33,23.33
2021-01-11,24.08,24.08
2021-01-08,21.56,21.56
2021-01-07,22.37,22.37
2021-01-06,25.07,25.07
2021-01-05,25.34,25.34
2021-01-04,26.97,26.97
2020-12-31,22.75,22.75
2020-12-30,22.77,22.77
2020-12-29,23.08,23.08
2020-12-24,21.53,21.53
2020-12-23,23.31,23.31
2020-12-22,24.23,24.23
2020-12-21,25.16,25.16
2020-12-18,21.57,21.57
2020-12-17,21.93,21.93
2020-12-16,22.5,22.5
2020-12-15,22.89,22.89
2020-12-14,24.72,24.72
2020-12-11,23.31,23.31
2020-12-10,22.52,22.52
2020-12-09,22.27,22.27
2020-12-08,20.68,20.68
2020-12-07,21.3,21.3
2020-12-04,20.79,20.79
2020-12-03,21.28,21.28
2020-12-02,21.17,21.17
2020-12-01,20.77,20.77
2020-11-30,20.57,20.57
2020-11-27,20.84,20.84
2020-11-26,21.25,21.25
2020-11-25,21.25,21.25
2020-11-24,21.64,21.64
2020-11-23,22.66,22.66
2020-11-20,23.7,23.7
2020-11-19,23.11,23.11
2020-11-18,23.84,23.84
2020-11-17,22.71,22.71
2020-11-16,22.45,22.45
2020-11-13,23.1,23.1
2020-11-12,25.35,25.35
2020-11-11,23.45,23.45
2020-11-10,24.8,24.8
2020-11-09,25.75,25.75
2020-11-06,24.86,24.86
2020-11-05,27.58,27.58
2020-11-04,29.57,29.57
2020-11-03,35.55,35.55
2020-11-02,37.13,37.13
2020-10-30,38.02,38.02
2020-10-29,37.59,37.59
2020-10-28,40.28,40.28
2020-10-27,33.35,33.35
2020-10-26,32.46,32.46
2020-10-23,27.55,27.55
2020-10-22,28.11,28.11
2020-10-21,28.65,28.65
2020-10-20,29.35,29.35
2020-10-19,29.18,29.18
2020-10-16,27.41,27.41
2020-10-15,26.97,26.97
2020-10-14,26.4,26.4
2020-10-13,26.07,26.07
2020-10-12,25.07,25.07
2020-10-09,25.0,25.0
2020-10-08,26.36,26.36
2020-10-07,28.06,28.06
2020-10-06,29.48,29.48
2020-10-05,27.96,27.96
2020-10-02,27.63,27.63
2020-10-01,26.7,26.7
2020-09-30,26.37,26.37
2020-09-29,26.27,26.27
2020-09-28,26.19,26.19
2020-09-25,26.38,26.38
2020-09-24,28.51,28.51
2020-09-23,28.58,28.58
2020-09-22,26.86,26.86
2020-09-21,27.78,27.78
2020-09-18,25.83,25.83
2020-09-17,26.46,26.46
2020-09-16,26.04,26.04
2020-09-15,25.59,25.59
2020-09-14,25.85,25.85
2020-09-11,26.87,26.87
2020-09-10,29.71,29.71
2020-09-09,28.81,28.81
2020-09-08,31.46,31.46
2020-09-04,30.75,30.75
2020-09-03,33.6,33.6
2020-09-02,26.57,26.57
2020-09-01,26.12,26.12
2020-08-28,22.96,22.96
2020-08-27,24.47,24.47
2020-08-26,23.27,23.27
2020-08-25,22.03,22.03
2020-08-24,22.37,22.37
2020-08-21,22.54,22.54
2020-08-20,22.72,22.72
2020-08-19,22.54,22.54
2020-08-18,21.51,21.51
2020-08-17,21.35,21.35
2020-08-14,22.05,22.05
2020-08-13,22.13,22.13
2020-08-12,22.28,22.28
2020-08-11,24.03,24.03
2020-08-10,22.13,22.13
2020-08-07,22.21,22.21
2020-08-06,22.65,22.65
2020-08-05,22.99,22.99
2020-08-04,23.76,23.76
2020-08-03,24.28,24.28
2020-07-31,24.46,24.46
2020-07-30,24.76,24.76
2020-07-29,24.1,24.1
2020-07-28,25.44,25.44
2020-07-27,24.74,24.74
2020-07-24,25.84,25.84
2020-07-23,26.08,26.08
2020-07-22,24.32,24.32
2020-07-21,24.84,24.84
2020-07-20,24.46,24.46
2020-07-17,25.68,25.68
2020-07-16,28.0,28.0
2020-07-15,27.76,27.76
2020-07-14,29.52,29.52
2020-07-13,32.19,32.19
2020-07-10,27.29,27.29
2020-07-09,29.26,29.26
2020-07-08,28.08,28.08
2020-07-07,29.43,29.43
2020-07-06,27.94,27.94
2020-07-03,27.68,27.68
2020-07-02,27.68,27.68
2020-07-01,28.62,28.62
2020-06-30,30.43,30.43
2020-06-29,31.78,31.78
2020-06-26,34.73,34.73
2020-06-25,32.22,32.22
2020-06-24,33.84,33.84
2020-06-23,31.37,31.37
2020-06-22,31.77,31.77
2020-06-19,35.12,35.12
2020-06-18,32.94,32.94
2020-06-17,33.47,33.47
2020-06-16,33.67,33.67
2020-06-15,34.4,34.4
2020-06-12,36.09,36.09
2020-06-11,40.79,40.79
2020-06-10,27.57,27.57
2020-06-09,27.57,27.57
2020-06-08,25.81,25.81
2020-06-05,24.52,24.52
2020-06-04,25.81,25.81
2020-06-03,25.66,25.66
2020-06-02,26.84,26.84
2020-06-01,28.23,28.23
2020-05-29,27.51,27.51
2020-05-28,28.59,28.59
2020-05-27,27.62,27.62
2020-05-26,28.01,28.01
2020-05-22,28.16,28.16
2020-05-21,29.53,29.53
2020-05-20,27.99,27.99
2020-05-19,30.53,30.53
2020-05-18,29.3,29.3
2020-05-15,31.89,31.89
2020-05-14,32.61,32.61
2020-05-13,35.28,35.28
2020-05-12,33.04,33.04
2020-05-11,27.57,27.57
2020-05-07,31.44,31.44
2020-05-06,34.12,34.12
2020-05-05,33.61,33.61
2020-05-04,35.97,35.97
2020-05-01,37.19,37.19
2020-04-30,34.15,34.15
2020-04-29,31.23,31.23
2020-04-28,33.57,33.57
2020-04-27,33.29,33.29
2020-04-24,35.93,35.93
2020-04-23,41.38,41.38
2020-04-22,41.98,41.98
2020-04-21,45.41,45.41
2020-04-20,43.83,43.83
2020-04-17,38.15,38.15
2020-04-16,40.11,40.11
2020-04-15,40.84,40.84
2020-04-14,37.76,37.76
2020-04-09,41.67,41.67
